year,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,Childwhynotschool_nodocs,Childwhynotschool_nomoney,Childwhynotschool_failedschool,Childwhynotschool_childwork,Childwhynotschool_fearschool,Childwhynotschool_disease,Childwhynotschool_disability,Childwhynotschool_helphome,Childwhynotschool_other,Childwhynotschool_noschools,Childwhynotschool_nointerest,Childwhynotschool_pregnancy,Childwhynotschool_nospot,Childwhynotschool_notransport,Childwhynotschool_discrimnation,Childwhynotschool_discrimethnic,Childwhynotschool_finished,Childwhynotschool_recentlyarrive,Childwhynotschool_intransit,Childwhynotschool_noinfo,Childwhynotschool_toolate,Childwhynotschool_nolanguage,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical,whynotMedical_nomoney,whynotMedical_noinsurance,whynotMedical_noID,whynotMedical_noinfo,whynotMedical_feararrested,whynotMedical_distance,whynotMedical_notavailable,whynotMedical_denied
2021,Brazil,venezuela,black,stay,1.0,3.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,stay,1.0,1.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,relocate,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,2.0,1.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,1,0,0,0,0,1,0,0,0,0
2021,Brazil,venezuela,mixed,stay,2.0,2.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,dontknow,7.0,8.0,yes,1,no,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,2.0,1.0,no,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undecided,Agree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,3.0,1.0,yes,1,no,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,1,0,0,0,0,0,0
2021,Brazil,venezuela,white,relocate,2.0,4.0,no,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,2.0,5.0,yes,0,no,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,relocate,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,notell,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,relocate,2.0,0.0,no,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,black,stay,4.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,dontknow,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,black,relocate,3.0,3.0,yes,1,no,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,stay,2.0,2.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,relocate,1.0,0.0,no,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,relocate,7.0,5.0,no,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,dontknow,3.0,1.0,no,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undecided,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,2.0,7.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyDisagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,dontknow,2.0,2.0,no,0,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyDisagree,StronglyAgree,0,0,0,0,0,0,0,0,1,0
2021,Brazil,venezuela,other,dontknow,2.0,0.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,black,stay,2.0,1.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,dontknow,1.0,1.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,stay,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,4.0,1.0,yes,1,no,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,3.0,3.0,no,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,2.0,2.0,yes,0,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,dontknow,2.0,1.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,dontknow,2.0,2.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,1.0,2.0,no,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,black,relocate,3.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyDisagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,relocate,4.0,4.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyDisagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,dontknow,2.0,0.0,no,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,relocate,3.0,2.0,yes,1,no,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,dontknow,1.0,2.0,yes,1,yes,dontknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,dontknow,1.0,2.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,stay,2.0,3.0,yes,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,StronglyAgree,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,stay,3.0,3.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,other,white,stay,3.0,0.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,relocate,3.0,2.0,yes,1,no,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,relocate,4.0,3.0,yes,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Agree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,relocate,5.0,3.0,no,0,no,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,1.0,1.0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,relocate,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,black,stay,1.0,3.0,yes,1,no,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,dontknow,2.0,2.0,no,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,1.0,1.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Agree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,1.0,3.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,2.0,1.0,yes,1,no,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,dontknow,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,1.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,stay,0.0,1.0,yes,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,dontknow,2.0,1.0,no,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,1.0,0.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,4.0,4.0,yes,1,no,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,1,0,0,0,0,0
2021,Brazil,venezuela,,stay,2.0,1.0,no,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,stay,2.0,2.0,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,dontknow,3.0,2.0,no,0,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,stay,3.0,4.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,stay,2.0,2.0,yes,0,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,2.0,0.0,no,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,relocate,4.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,1,0,0,0,0,0,0
2021,Brazil,venezuela,white,stay,3.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,2.0,2.0,no,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,relocate,3.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,stay,2.0,2.0,no,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,2.0,0.0,no,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Agree,0,0,0,0,0,0,0,0,0,1
2021,Brazil,venezuela,white,stay,1.0,2.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,other,white,relocate,3.0,0.0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undecided,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,stay,1.0,1.0,no,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,stay,4.0,3.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,haiti,black,dontknow,3.0,0.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,cuba,black,dontknow,2.0,0.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,relocate,2.0,4.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyDisagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,dontknow,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,relocate,2.0,3.0,yes,0,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,relocate,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,relocate,2.0,4.0,no,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyDisagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,stay,2.0,3.0,yes,1,no,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,4.0,4.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,black,stay,2.0,1.0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
2021,Brazil,colombia,white,dontknow,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,black,relocate,1.0,2.0,yes,1,no,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyDisagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,stay,2.0,2.0,yes,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,1.0,0.0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,4.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,1,1,0,0,1,0,0,0
2021,Brazil,venezuela,other,dontknow,3.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,2.0,2.0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,notell,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,2.0,3.0,yes,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,other,stay,4.0,3.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,stay,3.0,1.0,no,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,cuba,white,stay,2.0,2.0,yes,0,no,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,black,stay,2.0,1.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Undecided,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,mixed,relocate,3.0,3.0,no,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,,stay,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Disagree,0,0,0,0,0,0,0,0,0,0
2021,Brazil,venezuela,white,stay,1.0,2.0,no,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,0,0,0,0,0,0,0,0,0,0
