"","x"
"RiskReturn_assaulted","What risks  if returning/We would be persecuted or assaulted or discriminated"
"RiskReturn_extorsion","What risks  if returning/I would be at risk of extortion"
"RiskReturn_healthrisk","What risks  if returning/I would be at imminent health risk"
"RiskReturn_insecurity","What risks  if returning/Would be in danger due to the insecurity of the country"
"RiskReturn_lackfood","What risks  if returning/My family group would be at risk for lack of food"
"RiskReturn_medical","What risks  if returning/Not being able to access medical services"
"RiskReturn_other","What risks  if returning/Other"
"RiskReturn_recruited","What risks  if returning/Could be forcibly recruited by criminal groups"
"RiskReturn_riskPreferNot","What risks  if returning/Prefer not to say"
"RiskReturn_subsistence","What risks  if returning/I would not get a job"
"RiskReturn_threat","What risks  if returning/Physical threat or intimidation"
"RiskReturn_violence","What risks  if returning/Fear of insecurity/violence"
"RiskYesStay","At risk if stayed at home"
"RiskStay_armedgroup","Risks  if staying home/I am afraid of some armed group"
"RiskStay_assaulted","Risks  if staying home/We would be persecuted or assaulted or discriminated"
"RiskStay_extorsion","Risks  if staying home/I would be at risk of extortion"
"RiskStay_healthrisk","Risks  if staying home/I would be at imminent health risk"
"RiskStay_insecurity","Risks  if staying home/My family group would be in danger due to the insecurity"
"RiskStay_lackfood","Risks  if staying home/My family group would be at risk for lack of food"
"RiskStay_medical","Risks  if staying home/Not being able to access medical services"
"RiskStay_other","Risks  if staying home/Other"
"RiskStay_recruited","Risks  if staying home/Could be forcibly recruited by criminal groups"
"RiskStay_riskPreferNot","Risks  if staying home/Prefer not to say"
"RiskStay_subsistence","Risks  if staying home/I would not get a job"
"RiskStay_threat","Risks  if staying home/Physical threat or intimidation"
"RiskStay_violence","Risks  if staying home/Fear of insecurity/violence"
"RiskActors_armedgroup","Who are the responsible actors?/I am afraid of some armed group"
"RiskActors_collective","Who are the responsible actors?/Collective accommodation"
"RiskActors_comunal","Who are the responsible actors?/Comunal group"
"RiskActors_dontknow","Who are the responsible actors?/Don't know"
"RiskActors_familiar","Who are the responsible actors?/Family members or known person"
"RiskActors_militia","Who are the responsible actors?/Militia"
"RiskActors_nonfamiliar","Who are the responsible actors?/Unknown person"
"RiskActors_notarmedgroup","Who are the responsible actors?/Unarmed criminal groups"
"RiskActors_notsay","Who are the responsible actors?/I prefer not to say"
"RiskActors_otherstate","Who are the responsible actors?/Other state"
"RiskActors_publicwork","Who are the responsible actors?/Officials of public institutions"
"RiskActors_stateforce","Who are the responsible actors?/Govrnment security forces"
"documentation_birthcertif","Personal documentation do you have with you?/Birth registry"
"documentation_id","Personal documentation do you have with you?/Valid identity card o document (ID)"
"documentation_idexp","Personal documentation do you have with you?/Expired itentity card or document"
"documentation_none","Personal documentation do you have with you?/None of the above happened"
"documentation_notell","Personal documentation do you have with you?/Prefer not to tell"
"documentation_other","Personal documentation do you have with you?/Other"
"documentation_passport","Personal documentation do you have with you?/Valid passport"
"documentation_passportexp","Personal documentation do you have with you?/Expired passport"
"RegularEntry","Entered the country regularly? Vs irregular entry"
"AppliedRefugee","Intend to apply for asylum or refugee status with current country"
"Appliedrejected","More details for rejected application"
"AppliedRefugeeIDP","Intend to seek for asylum or refugee status in another country?"
"NotAsylum_costs","Reasons why you have not applied for Refugee Status/Costs"
"NotAsylum_distance","Reasons why you have not applied for Refugee Status/The health center is too far"
"NotAsylum_lack_of_docume","Reasons why you have not applied for Refugee Status/Lack of documentation"
"NotAsylum_lack_of_inform","Reasons why you have not applied for Refugee Status/Lack of information"
"NotAsylum_lack_time","Reasons why you have not applied for Refugee Status/Lack of time"
"NotAsylum_not_allowed_in","Reasons why you have not applied for Refugee Status/Not allowed in host country"
"NotAsylum_other","Reasons why you have not applied for Refugee Status/Other"
"docResidence","Type of residence permit or visa they currently have"
"medicalAttention","Required medical attention?"
"medicalType_center","Type of health facility they went to/Public Health Center"
"medicalType_clinic","Type of health facility they went to/Clinic - Private health Center"
"medicalType_hospital","Type of health facility they went to/Public Hostpital"
"medicalType_other","Type of health facility they went to/Other"
"medicalReceived","Feel like received the required medical attention?"
"whynotMedical_denied","Reasons could not access required attention/I was denied medical attention"
"whynotMedical_distance","Reasons could not access required attention/The health center is too far"
"whynotMedical_feararrested","Reasons could not access required attention/Fear of being arrested or detained"
"whynotMedical_noID","Reasons could not access required attention/Lack of necessary documentation"
"whynotMedical_noinfo","Reasons could not access required attention/Lack of information or knowledge"
"whynotMedical_noinsurance","Reasons could not access required attention/Lack of medical insurance"
"whynotMedical_nomoney","Reasons could not access required attention/Lack of financial resources"
"whynotMedical_notavailable","Reasons could not access required attention/The medical service not available"
"whynotMedical_other","Reasons could not access required attention/Other"
"mentalhealthsymp_couple","Who asked for mental health?/Partner or significant other"
"mentalhealthsymp_famfriend","Who asked for mental health?/Other family / friends"
"mentalhealthsymp_ngos","Who asked for mental health?/NGO / civil society organizations"
"mentalhealthsymp_none","Who asked for mental health?/None of the above happened"
"mentalhealthsymp_noOne","Who asked for mental health?/I have not turned to anyone"
"mentalhealthsymp_notell","Who asked for mental health?/Prefer not to tell"
"mentalhealthsymp_other","Who asked for mental health?/Other"
"mentalhealthsymp_religious","Who asked for mental health?/Yes, from a religious organisation"
"mentalhealthsymp_stateresource","Who asked for mental health?/State mental health services"
"mentalhealthsymp_unorgs","Who asked for mental health?/United Nations organizations"
"pressneeds","What are their most pressing needs?"
"ConsentScore","Consent 2: Agree to complete vulnerability scoring questions."
"housingtype","Type of housing where you reside currently?"
"water","How do you mainly access drinking water?"
"bathroom","What is the type of bathroom you have access to?"
"electricity","Have 24h access to electricity?"
"mealsperday","Number of daily meals on a usual day"
"AbleBodied","Members in the age and capacity to work"
"dependencyRatio","CALC: Dependency Ratio"
"dependencyCategory","CALC: Dependency Ratio category"
"jobbefore","Employment before displacement"
"jobafter","Current employment"
"employmentOpp","Hours worked in the last week"
"headof","In your household, is anyone acting as head of household? Is it you or other?"
"ageRange","How old are you?"
"Sex","Gender?"
"maritalStatus","Marital status?"
"ageRangeother","If you are not the household head, how old is that person?"
"Sexother","If you are not  the household head, what's the gender of that person?"
"maritalStatusother","If you are not the household head, what's the marrital status of that person?"
"SocialBenefit_communities","Currently receiving subsidy from other Org?/Yes, from the local community"
"SocialBenefit_gvt","Currently receiving subsidy from other Org?/Yes, from the government"
"SocialBenefit_ngo","Currently receiving subsidy from other Org?/Yes, from a non-governmental org"
"SocialBenefit_none","Currently receiving subsidy from other Org?/None of the above happened"
"SocialBenefit_other","Currently receiving subsidy from other Org?/Other"
"SocialBenefit_religious","Currently receiving subsidy from other Org?/Yes, from a religious organisation"
"SocialBenefitType_cash","What type of assistance do you receive?/Cash subsidy (or prepaid card)"
"SocialBenefitType_education","What type of assistance do you receive?/Education"
"SocialBenefitType_foodbag","What type of assistance do you receive?/Delivery of foods"
"SocialBenefitType_foodcard","What type of assistance do you receive?/Food card"
"SocialBenefitType_foodkit","What type of assistance do you receive?/Foodkit"
"SocialBenefitType_foodration","What type of assistance do you receive?/Food ration"
"SocialBenefitType_housing","What type of assistance do you receive?/Housing or housing payment"
"SocialBenefitType_hygiene","What type of assistance do you receive?/Hygiene kit"
"SocialBenefitType_livelihood","What type of assistance do you receive?/Livelihoods"
"SocialBenefitType_med","What type of assistance do you receive?/Medical Assistance"
"SocialBenefitType_medical","What type of assistance do you receive?/Medical"
"SocialBenefitType_other","What type of assistance do you receive?/Other"
"SocialBenefitType_pss","What type of assistance do you receive?/PSS"
"SocialBenefitType_psych","What type of assistance do you receive?/Psychological assistance"
"SocialBenefitType_relocate","What type of assistance do you receive?/Yes"
"SocialBenefitGov_auxdoenca","What type of assistance received from the government?/Sick pay /illness aid"
"SocialBenefitGov_auxilio","What type of assistance received from the government?/Emergency help"
"SocialBenefitGov_bolsa","What type of assistance received from the government?/Family bag"
"SocialBenefitGov_BPC","What type of assistance received from the government?/Continuous cash benefit"
"SocialBenefitGov_other","What type of assistance received from the government?/Other"
"CopingMechanism1_aidAgency","Coping mechanism/Sought or relied on aid from humanitarian agencies or NGO"
"CopingMechanism1_aidHost","Coping mechanism/Receive donations from others"
"CopingMechanism1_borrowMoney","Coping mechanism/Borrow money to purchase food or basic goods"
"CopingMechanism1_changedShelter","Coping mechanism/Moved to a less adequate shelter situation"
"CopingMechanism1_familySupport","Coping mechanism/Family support"
"CopingMechanism1_limitAdultFood","Coping mechanism/Restrict food of adults in order for small children to eat"
"CopingMechanism1_none","Coping mechanism/None of the above happened"
"CopingMechanism1_notell","Coping mechanism/Prefer not to tell"
"CopingMechanism1_other","Coping mechanism/Other"
"CopingMechanism1_reducedFood","Coping mechanism/Reduction in the quantity or quality of food eaten"
"CopingMechanism1_reduceExp","Coping mechanism/Reduce non-essential expenditures"
"CopingMechanism1_sellAssets","Coping mechanism/Sell household items or assets"
"CopingMechanism1_skippedRent","Coping mechanism/Skipped paying rent to meet other needs"
"CopingMechanism1_useSavings","Coping mechanism/Using up savings"
"CopingMechanism1_workFood","Coping mechanism/Working for food, accommodation and other things (not for cash)"
"CopingMechanism2_beg","Extreme negative coping mechanism/Begging"
"CopingMechanism2_childmarriage","Extreme negative coping mechanism/Child marriage"
"CopingMechanism2_foodscrap","Extreme negative coping mechanism/Collect food scraps"
"CopingMechanism2_none","Extreme negative coping mechanism/None of the above happened"
"CopingMechanism2_notell","Extreme negative coping mechanism/Prefer not to tell"
"CopingMechanism2_other","Extreme negative coping mechanism/Other"
"CopingMechanism2_sendchild","Extreme negative coping mechanism/Children sent to the care of other families."
"CopingMechanism2_survivalsex","Extreme negative coping mechanism/Sex for survival or prostitution"
"CopingMechanism2_workchild","Extreme negative coping mechanism/Children (under 15 years old) sent to work"
"FeelSafe","Feel safe in the area or community"
"Isolation","Feel lonely or isolated in Asylum"
"IsoltaionPTA","Modified  daily routine to remain safe since persecution starte"
"Discriminated","Feel discriminated in asylum"
"DiscriminatedPTA","Felt discriminated since persecution started"
"DiscriminatedReasons_age","Reasons for feeling discriminated/By age"
"DiscriminatedReasons_disability","Reasons for feeling discriminated/Disability"
"DiscriminatedReasons_ethnictiy","Reasons for feeling discriminated/By ethnicity or skin color"
"DiscriminatedReasons_female","Reasons for feeling discriminated/Female"
"DiscriminatedReasons_gender","Reasons for feeling discriminated/Sexual orientation or gender identity"
"DiscriminatedReasons_male","Reasons for feeling discriminated/Male"
"DiscriminatedReasons_nationality","Reasons for feeling discriminated/By nationality"
"DiscriminatedReasons_other","Reasons for feeling discriminated/Other"
"DiscriminatedReasons_religion","Reasons for feeling discriminated/Their religion"
"Interaction","Appreciation of interaction with the local population"
"InteractionPTA","Appreciation of gvt protection measures since persecution started"
"communication","Feel like easily accessing internet when need comes"
"covidimpact_amenaza","3 main impacts of COVID quarantine?/Threats and intimidation"
"covidimpact_amenazadesa","3 main impacts of COVID quarantine?/Eviction threat"
"covidimpact_corteserv","3 main impacts of COVID quarantine?/Services cut off"
"covidimpact_desalojo","3 main impacts of COVID quarantine?/Eviction"
"covidimpact_deuda","3 main impacts of COVID quarantine?/Debt accumulaiton"
"covidimpact_educlimitada","3 main impacts of COVID quarantine?/Restricted education for children at home"
"covidimpact_noneimp","3 main impacts of COVID quarantine?/None of the above"
"covidimpact_otherimp","3 main impacts of COVID quarantine?/Otro. Especifique"
"covidimpact_saludfisica","3 main impacts of COVID quarantine?/Impact on physical health"
"covidimpact_saludmental1","3 main impacts of COVID quarantine?/Impact mental health: economic reasons"
"covidimpact_saludmental2","3 main impacts of COVID quarantine?/Impact mental health: mobility restrictions"
"riskeviction","Are you currently at risk of eviction?"
"razon_riesgo_autoridades","Reason risk of eviction?/Has problems with the authorities"
"razon_riesgo_no_pago","Reason risk of eviction?/Has no ability to pay"
"razon_riesgo_other","Reason risk of eviction?/Other"
"razon_riesgo_otros_barrio","Reason risk of eviction?/Has problems with other residents of the neighborhood"
"razon_riesgo_otros_habitantes","Reason risk of eviction?/You have problems with other inhabitants of the home"
"razon_riesgo_propietarioa","Reason risk of eviction?/Has landlord issues"
"razon_riesgo_vencio_plazo","Reason risk of eviction?/The term you have to stay in the home has expired"
"measure_acuerdoarren","Measures to deal with housing?/Establishment of agreements with the lessor"
"measure_asistlegal","Measures to deal with housing?/Seek legal assistance"
"measure_extension","Measures to deal with housing?/Request extension of payment to the lessor"
"measure_mudarhost","Measures to deal with housing?/Moving to the home of a family member, friend"
"measure_mudartemp","Measures to deal with housing?/Moving to temporary accommodation or shelter."
"measure_nonem","Measures to deal with housing?/None of the above"
"measure_otherm","Measures to deal with housing?/Other, indicate which one?"
"measure_prestamo","Measures to deal with housing?/Loan application"
"measure_regresopai","Measures to deal with housing?/Return to home country"
"protarrendatario","Do you know about the protection measures for tenants currently in force?"
"probconvivencia_cargadomes","Coexistence problems faced?/Higher household load"
"probconvivencia_conflictos","Coexistence problems faced?/Conflicts or disputes with neighbors, other tenants"
"probconvivencia_ninosdif","Coexistence problems faced?/Living with children is difficult"
"probconvivencia_noseguro","Coexistence problems faced?/I don't feel safe with the person (s) I live with"
"probconvivencia_parejadif","Coexistence problems faced?/Living with my partner is difficult"
"probconvivencia_sinProblema","Coexistence problems faced?/No problems"
"probconvivencia_soledad","Coexistence problems faced?/Loneliness"
"ViolenciaAumenta","Do you think domestic violence cases has changed due to pandemic restrictions?"
"RazonViolenciaAumenta_aislamien","Why more domestic violence?/Quarantine restriction of mobility"
"RazonViolenciaAumenta_dependen","Why more domestic violence?/Economic dependency of the perpetrator"
"RazonViolenciaAumenta_economi","Why more domestic violence?/Impact of pandemic on household economy"
"RazonViolenciaAumenta_estres","Why more domestic violence?/Increased stress, other impacts on mental health"
"RazonViolenciaAumenta_justicia","Why more domestic violence?/No access judicial system due mobility restriction"
"RazonViolenciaAumenta_otroViol","Why more domestic violence?/Other"
"RazonViolenciaAumenta_serviciGBV","Why more domestic violence?/Lack awareness services for gender-based violence"
"income4basicneeds_actividadeco","Before restrictions 3 main sources of income/Earnings from an economic activity"
"income4basicneeds_ahorro","Before restrictions 3 main sources of income/Savings"
"income4basicneeds_apoyocomm","Before restrictions 3 main sources of income/Assistance from community, friends"
"income4basicneeds_apoyohuman","Before restrictions 3 main sources of income/Humanitarian assistance"
"income4basicneeds_nosource","Before restrictions 3 main sources of income/I did not have a source of income"
"income4basicneeds_othersource","Before restrictions 3 main sources of income/Other"
"income4basicneeds_remesas","Before restrictions 3 main sources of income/Remittances"
"income4basicneeds_venderbienes","Before restrictions 3 main sources of income/Selling personal belongings"
"workchanged","Has work situation changed for restrictions due to COVID-19 pandemic?"
"workchangedhow_aumentoHoras","How has your work situation changed?/More hours to work"
"workchangedhow_aumentoTrabajo","How has your work situation changed?/More occasional jobs"
"workchangedhow_dismiHoras","How has your work situation changed?/Work less hours"
"workchangedhow_dismiTrabajo","How has your work situation changed?/Less work"
"workchangedhow_negocio","How has your work situation changed?/Reactivated business activity"
"workchangedhow_nuevoNegocio","How has your work situation changed?/New business activity"
"workchangedhow_otroLaboral","How has your work situation changed?/Other"
"kidscanschool","During the restricctions, have children been able to continue their studies?"
"kidscannotschool_noMatCupo","Why kids didn't start school year?/Not enrolled due to lack enrollment space"
"kidscannotschool_noMatRec","Why kids didn't start school year?/Not enrolled due to lack resources"
"kidscannotschool_otroEduc","Why kids didn't start school year?/Other"
"kidscannotschool_sinRecuros","Why kids didn't start school year?/Enrolled but lack resources at home"
"kidscanschoolhow_downloadplat","Remote education modalities used/Virtual platforms for downloading materials"
"kidscanschoolhow_interactplat","Remote education modalities used/Virtual platformas with instructors"
"kidscanschoolhow_materialsdeliv","Remote education modalities used/Printed materials delivered to the home"
"kidscanschoolhow_materialswhats","Remote education modalities used/Materials shared through WhatsApp"
"kidscanschoolhow_othereduc","Remote education modalities used/Other"
"kidscanschoolhow_radioortv","Remote education modalities used/TV or radio lessons"
"internetaccess","What is the main way your family has access to internet?"
"ICmedicalAttention","Medical services needed during pandemic"
"medicowhat_atenpsicosoc","Medical care needed during pandemic/Psychosocial / psychiatric care"
"medicowhat_enfercronicas","Medical care needed during pandemic/Treatment for chronic diseases"
"medicowhat_otronoC19","Medical care needed during pandemic/Other care, not related to COVID-19"
"medicowhat_prenatalpediatrico","Medical care needed during pandemic/Prenatal or pediatric control"
"medicowhat_pruebaC19","Medical care needed during pandemic/COVID-19 test"
"medicowhat_tratamientoC19","Medical care needed during pandemic/Treatment for COVID-19"
"RecibioAsistMed","Has the person received the needed medical assistance?"
"RazonFaltaAsistMed_atencionNegad","Reasons lack access health care?/The person was denied care"
"RazonFaltaAsistMed_atencionSusp","Reasons lack access health care?/Service needed not available"
"RazonFaltaAsistMed_FaltaIF","Reasons lack access health care?/Lack required documentation or identification"
"RazonFaltaAsistMed_FaltaInfo","Reasons lack access health care?/Lack info, does not know how access assistance"
"RazonFaltaAsistMed_faltaRecursos","Reasons lack access health care?/Lack resources, could not cover costs"
"RazonFaltaAsistMed_FaltaSegMed","Reasons lack access health care?/Lack of health insurance"
"RazonFaltaAsistMed_lejania","Reasons lack access health care?/Distance"
"RazonFaltaAsistMed_MiedoArresto","Reasons lack access health care?/Fear arrest"
"RazonFaltaAsistMed_otroAtMed","Reasons lack access health care?/Other"
"Weight","Weight"
"ID","ID"
